Geracao 0:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 181:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 182:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 183:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 184:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 185:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 186:
